word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
mommy,0.38,0.22,4.4,3.67,0.447,0.126,0.722,0.564,,,,,
mooed,0.58,0.64,3.78,4.93,0.682,0.368,0.435,0.759,,,,,
morel,0.54,1.13,3.33,5.77,0.635,0.649,0.227,0.890,,,,,
motet,0.54,0.77,3.7,4.84,0.635,0.443,0.398,0.745,,,,,
mould,0.42,0.72,3.86,5.14,0.494,0.414,0.472,0.792,,,,,
mousy,0.42,0.85,3.73,5.32,0.494,0.489,0.412,0.820,,,,,
mowed,0.51,0.8,3.7,5.27,0.600,0.460,0.398,0.812,,,,,
muggy,0.29,0.26,4.45,3.92,0.341,0.149,0.745,0.602,,,,,
muses,0.64,0.72,3.64,5.1,0.753,0.414,0.370,0.786,,,,,
musts,0.52,0.58,3.91,4.82,0.612,0.333,0.495,0.742,,,,,
muzak,0.22,0.61,4.16,4.05,0.259,0.351,0.611,0.623,,,,,
natch,0.32,0.95,3.73,4.93,0.376,0.546,0.412,0.759,,,,,
natty,0.41,0.65,3.94,4.68,0.482,0.374,0.509,0.720,,,,,
newel,0.39,0.77,3.84,4.29,0.459,0.443,0.463,0.660,,,,,
newts,0.49,1.16,3.35,5.43,0.576,0.667,0.236,0.837,,,,,
nonce,0.43,0.87,3.7,4.68,0.506,0.500,0.398,0.720,,,,,
nooks,0.57,0.59,3.84,4.87,0.671,0.339,0.463,0.750,,,,,
noyes,0.66,1.09,3.25,5.79,0.776,0.626,0.190,0.893,,,,,
obeys,0.37,1.27,3.36,4.95,0.435,0.730,0.241,0.762,,,,,
ocher,0.3,1.27,3.43,4.92,0.353,0.730,0.273,0.758,,,,,
ohmic,0.16,0.92,3.92,4.4,0.188,0.529,0.500,0.677,,,,,
orate,0.44,1.49,3.06,5.83,0.518,0.856,0.102,0.899,,,,,
ovens,0.44,1.24,3.32,5.1,0.518,0.713,0.222,0.786,,,,,
ozzie,0.21,0.96,3.83,3.78,0.247,0.552,0.458,0.581,,,,,
pacer,0.52,1.14,3.34,5.67,0.612,0.655,0.231,0.874,,,,,
pacta,0.36,0.68,3.96,4.43,0.424,0.391,0.519,0.682,,,,,
paled,0.58,1.05,3.38,5.85,0.682,0.603,0.250,0.902,,,,,
pales,0.77,1.16,3.07,6.34,0.906,0.667,0.106,0.978,,,,,
parti,0.4,1.08,3.52,5.55,0.471,0.621,0.315,0.856,,,,,
peaky,0.44,0.91,3.66,5.26,0.518,0.523,0.380,0.811,,,,,
peals,0.64,1.29,3.07,6.13,0.753,0.741,0.106,0.946,,,,,
pecks,0.51,0.98,3.51,5.34,0.600,0.563,0.310,0.823,,,,,
peels,0.6,0.91,3.49,5.16,0.706,0.523,0.301,0.795,,,,,
petit,0.36,0.9,3.75,4.64,0.424,0.517,0.421,0.714,,,,,
phyla,0.22,0.92,3.86,4.65,0.259,0.529,0.472,0.716,,,,,
plasm,0.32,1.2,3.48,5.17,0.376,0.690,0.296,0.797,,,,,
playa,0.28,0.72,4,4.24,0.329,0.414,0.537,0.652,,,,,
poach,0.43,0.8,3.77,4.98,0.506,0.460,0.431,0.767,,,,,
polio,0.36,0.69,3.95,4.55,0.424,0.397,0.514,0.700,,,,,
polis,0.61,0.95,3.44,5.87,0.718,0.546,0.278,0.905,,,,,
ponce,0.48,0.97,3.55,5.4,0.565,0.557,0.329,0.832,,,,,
popes,0.72,0.82,3.46,5.35,0.847,0.471,0.287,0.825,,,,,
pored,0.59,1,3.41,5.88,0.694,0.575,0.264,0.907,,,,,
porgy,0.44,0.64,3.92,5.19,0.518,0.368,0.500,0.800,,,,,
porta,0.41,1.12,3.47,5.64,0.482,0.644,0.292,0.870,,,,,
poses,0.74,0.8,3.46,5.39,0.871,0.460,0.287,0.831,,,,,
posey,0.57,1.1,3.34,5.79,0.671,0.632,0.231,0.893,,,,,
prams,0.58,1,3.43,5.7,0.682,0.575,0.273,0.879,,,,,
prexy,0.34,0.86,3.81,4.49,0.400,0.494,0.449,0.691,,,,,
pruta,0.32,1.05,3.63,5.26,0.376,0.603,0.366,0.811,,,,,
puffs,0.43,0.49,4.08,4.17,0.506,0.282,0.574,0.641,,,,,
